"","ModuleNum","NumGenSpe1","NumGenSpe2","SumNumGeneSpe12","Ratio1","Ratio2"
"1",2,273,79,352,0.776,0.224
"2",8,255,76,331,0.77,0.23
"3",39,174,123,297,0.586,0.414
"4",1,214,39,253,0.846,0.154
"5",3,207,38,245,0.845,0.155
"6",187,56,159,215,0.26,0.74
"7",224,53,159,212,0.25,0.75
"8",57,110,82,192,0.573,0.427
"9",113,38,109,147,0.259,0.741
"10",19,39,6,45,0.867,0.133
"11",22,5,1,6,0.833,0.167
"12",11,4,1,5,0.8,0.2
"13",230,4,1,5,0.8,0.2
"14",18,4,0,4,1,0
"15",36,3,1,4,0.75,0.25
"16",195,3,1,4,0.75,0.25
"17",6,2,1,3,0.667,0.333
"18",7,2,1,3,0.667,0.333
"19",20,2,1,3,0.667,0.333
"20",23,2,1,3,0.667,0.333
"21",25,1,2,3,0.333,0.667
"22",30,2,1,3,0.667,0.333
"23",32,2,1,3,0.667,0.333
"24",37,2,1,3,0.667,0.333
"25",50,2,1,3,0.667,0.333
"26",51,2,1,3,0.667,0.333
"27",54,2,1,3,0.667,0.333
"28",56,2,1,3,0.667,0.333
"29",60,2,1,3,0.667,0.333
"30",69,1,2,3,0.333,0.667
"31",104,1,2,3,0.333,0.667
"32",127,1,2,3,0.333,0.667
"33",186,1,2,3,0.333,0.667
"34",193,2,1,3,0.667,0.333
"35",202,2,1,3,0.667,0.333
"36",225,2,1,3,0.667,0.333
"37",229,1,2,3,0.333,0.667
"38",231,2,1,3,0.667,0.333
"39",236,1,2,3,0.333,0.667
"40",244,2,1,3,0.667,0.333
"41",289,2,1,3,0.667,0.333
"42",301,2,1,3,0.667,0.333
"43",341,2,1,3,0.667,0.333
"44",4,1,1,2,0.5,0.5
"45",5,2,0,2,1,0
"46",9,1,1,2,0.5,0.5
"47",10,1,1,2,0.5,0.5
"48",12,1,1,2,0.5,0.5
"49",13,2,0,2,1,0
"50",14,2,0,2,1,0
"51",15,1,1,2,0.5,0.5
"52",16,1,1,2,0.5,0.5
"53",17,1,1,2,0.5,0.5
"54",21,1,1,2,0.5,0.5
"55",24,1,1,2,0.5,0.5
"56",26,1,1,2,0.5,0.5
"57",27,1,1,2,0.5,0.5
"58",28,2,0,2,1,0
"59",29,1,1,2,0.5,0.5
"60",31,1,1,2,0.5,0.5
"61",33,1,1,2,0.5,0.5
"62",34,2,0,2,1,0
"63",35,1,1,2,0.5,0.5
"64",38,2,0,2,1,0
"65",40,2,0,2,1,0
"66",41,1,1,2,0.5,0.5
"67",42,1,1,2,0.5,0.5
"68",43,1,1,2,0.5,0.5
"69",44,2,0,2,1,0
"70",45,2,0,2,1,0
"71",46,2,0,2,1,0
"72",47,1,1,2,0.5,0.5
"73",48,1,1,2,0.5,0.5
"74",49,1,1,2,0.5,0.5
"75",52,1,1,2,0.5,0.5
"76",53,1,1,2,0.5,0.5
"77",55,2,0,2,1,0
